,Genus_Species,Pupils
1,Ambystoma_amblycephalum,symmetrical_circle
2,Ambystoma_annulatum,symmetrical_circle
3,Ambystoma_bishopi,symmetrical_circle
4,Ambystoma_californiense,symmetrical_circle
5,Ambystoma_dumerilii,symmetrical_circle
6,Ambystoma_gracile,symmetrical_circle
7,Ambystoma_granulosum,symmetrical_circle
8,Ambystoma_jeffersonianum,symmetrical_circle
9,Ambystoma_macrodactylum,symmetrical_circle
10,Ambystoma_maculatum,symmetrical_circle
11,Ambystoma_mexicanum,symmetrical_circle
12,Ambystoma_opacum,symmetrical_circle
13,Ambystoma_ordinarium,symmetrical_circle
14,Ambystoma_rosaceum,symmetrical_circle
15,Ambystoma_talpoideum,symmetrical_circle
16,Ambystoma_texanum,symmetrical_circle
17,Ambystoma_tigrinum,symmetrical_circle
18,Amphiuma_means,symmetrical_circle
19,Amphiuma_tridactylum,symmetrical_circle
20,Andrias_davidianus,symmetrical_circle
21,Andrias_japonicus,symmetrical_circle
22,Aneides_aeneus,horizontal_oval
23,Aneides_ferreus,horizontal_oval
24,Aneides_flavipunctatus,NA
25,Aneides_hardii,horizontal_oval
26,Aneides_lugubris,symmetrical_circle
27,Aneides_niger,NA
28,Aneides_vagrans,symmetrical_circle
29,Batrachoseps_attenuatus,horizontal_oval
30,Batrachoseps_major,horizontal_oval
31,Batrachoseps_nigriventris,horizontal_oval
32,Batrachoseps_pacificus,horizontal_oval
33,Batrachoseps_relictus,NA
34,Batrachuperus_karlschmidti,NA
35,Batrachuperus_yenyuanensis,NA
36,Bolitoglossa_altamazonica,horizontal_slit
37,Bolitoglossa_engelhardti,horizontal_oval
38,Bolitoglossa_lignicolor,horizontal_oval
39,Bolitoglossa_marmorea,NA
40,Bolitoglossa_mexicana,horizontal_oval
41,Bolitoglossa_morio,NA
42,Bolitoglossa_platydactyla,horizontal_oval
43,Bolitoglossa_rostrata,horizontal_oval
44,Bolitoglossa_rufescens,horizontal_oval
45,Bolitoglossa_subpalmata,horizontal_oval
46,Calotriton_asper,horizontal_oval
47,Chioglossa_lusitanica,symmetrical_circle
48,Chiropterotriton_chiropterus,horizontal_oval
49,Chiropterotriton_multidentatus,horizontal_oval
50,Cryptobranchus_alleganiensis,symmetrical_circle
51,Cynops_ensicauda,symmetrical_circle
52,Cynops_pyrrhogaster,symmetrical_circle
53,Cynops_wolterstorffi,NA
54,Desmognathus_auriculatus,horizontal_oval
55,Desmognathus_brimleyorum,horizontal_oval
56,Desmognathus_conanti,horizontal_oval
57,Desmognathus_fuscus,horizontal_oval
58,Desmognathus_imitator,horizontal_oval
59,Desmognathus_monticola,horizontal_oval
60,Desmognathus_ochrophaeus,horizontal_oval
61,Desmognathus_quadramaculatus,horizontal_oval
62,Dicamptodon_aterrimus,symmetrical_circle
63,Dicamptodon_copei,symmetrical_circle
64,Dicamptodon_ensatus,symmetrical_circle
65,Dicamptodon_tenebrosus,symmetrical_circle
66,Echinotriton_andersoni,symmetrical_circle
67,Ensatina_eschscholtzii,horizontal_oval
68,Euproctus_montanus,symmetrical_circle
69,Eurycea_bislineata,horizontal_oval
70,Eurycea_cirrigera,horizontal_oval
71,Eurycea_guttolineata,horizontal_oval
72,Eurycea_longicauda,horizontal_oval
73,Eurycea_lucifuga,horizontal_oval
74,Eurycea_neotenes,NA
75,Eurycea_nana,symmetrical_circle
76,Eurycea_quadridigitata,horizontal_oval
77,Eurycea_tynerensis,symmetrical_circle
78,Eurycea_wilderae,horizontal_oval
79,Gyrinophilus_porphyriticus,horizontal_oval
80,Hemidactylium_scutatum,horizontal_oval
81,Hydromantes_ambrosii,horizontal_oval
82,Hydromantes_brunus,horizontal_oval
83,Hydromantes_imperialis,horizontal_oval
84,Hydromantes_italicus,horizontal_oval
85,Hydromantes_platycephalus,horizontal_oval
