,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Museum,SpecimenNumber,Sex,Stage,Gill_Presence,SVL_cm,SVL_mm,Mass_g,ED_left_mm,ED_right_mm,CD_left_mm,CD_right_mm,Measured_by
1,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,amblycephalum,Ambystoma_amblycephalum,CAS,134063,NA,NA,yes,7.3,73,11.58,3.96,4.11,2.94,2.93,Nicole_Bednarik
2,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,amblycephalum,Ambystoma_amblycephalum,CAS,87834,NA,NA,yes,6,60,9.34,3.63,3.82,2.11,2.42,Nicole_Bednarik
3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,annulatum,Ambystoma_annulatum,CAS,187343,NA,adult,no,8,80,8.97,3.17,3.1,1.99,2.06,Nicole_Bednarik
4,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,annulatum,Ambystoma_annulatum,CAS,255181,NA,NA,no,8,80,8.39,3.51,3.45,2.44,2.34,Nicole_Bednarik
5,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,annulatum,Ambystoma_annulatum,CAS,255182,NA,NA,no,8.8,88,12.12,3.6,3.4,2.43,2.2,Nicole_Bednarik
6,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,bishopi,Ambystoma_bishopi,CAS,74299,NA,NA,no,6,60,3.77,2.58,2.98,1.7,1.7,Nicole_Bednarik
7,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,bishopi,Ambystoma_bishopi,MVZ,52681,NA,adult_juv,no,5.6,56,3.29,2.17,2.24,1.75,1.52,Nicole_Bednarik
8,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,californiense,Ambystoma_californiense,CAS,8536,male,adult,no,10.2,102,26.53,5.2,5.25,3.32,3.37,Nicole_Bednarik
9,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,californiense,Ambystoma_californiense,CAS,8537,female,adult,no,10.3,103,29,4.83,4.77,3.33,3.56,Nicole_Bednarik
10,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,californiense,Ambystoma_californiense,CAS,8538,female,adult,no,11.5,115,46.87,4.87,4.95,4.11,3.62,Nicole_Bednarik
11,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,dumerilii,Ambystoma_dumerilii,CAS,134062,NA,juv,yes,16.9,169,131.83,5.63,5.83,3.2,3.25,Nicole_Bednarik
12,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,dumerilii,Ambystoma_dumerilii,NHMUK/BMNH,1914.1.28.247,NA,NA,yes,14.475,144.75,78,4.6,4.09,4.24,4,KatieThomas_JeffreyStreicher
13,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,dumerilii,Ambystoma_dumerilii,NHMUK/BMNH,1914.1.28.248,NA,NA,yes,12.521,125.21,58,NA,NA,3.2,2.77,KatieThomas_JeffreyStreicher
14,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,gracile,Ambystoma_gracile,CAS,2204,female,adult,no,10.9,109,15.4,5.28,5.52,4.22,3.97,Nicole_Bednarik
15,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,gracile,Ambystoma_gracile,CAS,252487,NA,juv,no,7.4,74,10.03,5.56,5.78,4.19,4.14,Nicole_Bednarik
16,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,gracile,Ambystoma_gracile,CAS,187357,NA,adult_juv,no,7,70,11.17,5.07,4.95,3.96,3.89,Nicole_Bednarik
17,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,granulosum,Ambystoma_granulosum,MVZ,164626,NA,adult_juv,no,6.3,63,5,3.44,3.37,2.07,2.26,Nicole_Bednarik
18,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,jeffersonianum,Ambystoma_jeffersonianum,CAS,6824,NA,adult,no,7.3,73,7.87,3.56,3.57,2.65,2.66,Nicole_Bednarik
19,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,jeffersonianum,Ambystoma_jeffersonianum,CAS,5118,NA,adult,no,6.6,66,6.67,2.99,3.21,2.39,2.12,Nicole_Bednarik
