,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Activity_Period,Adult_Habitat,Development,Life_History,Larval_Habitat
1,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,amblycephalum,Ambystoma_amblycephalum,nocturnal,aquatic,paedomorphic,free-living,lentic water
2,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,annulatum,Ambystoma_annulatum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water
3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,bishopi,Ambystoma_bishopi,nocturnal,subfossorial,metamorphosizing,free-living,lentic water
4,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,californiense,Ambystoma_californiense,nocturnal,subfossorial,metamorphosizing,free-living,lentic water
5,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,dumerilii,Ambystoma_dumerilii,nocturnal,aquatic,paedomorphic,free-living,lentic water
6,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,gracile,Ambystoma_gracile,nocturnal,subfossorial,metamorphosizing,free-living,lentic water
7,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,granulosum,Ambystoma_granulosum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water
8,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,jeffersonianum,Ambystoma_jeffersonianum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water
9,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,macrodactylum,Ambystoma_macrodactylum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water
10,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,maculatum,Ambystoma_maculatum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water
11,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,mexicanum,Ambystoma_mexicanum,nocturnal,aquatic,paedomorphic,free-living,lentic water
12,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,opacum,Ambystoma_opacum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water
13,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,ordinarium,Ambystoma_ordinarium,diurnal,aquatic,paedomorphic,free-living,lotic water
14,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,rosaceum,Ambystoma_rosaceum,nocturnal,aquatic,paedomorphic,free-living,lotic water
15,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,talpoideum,Ambystoma_talpoideum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water
16,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,texanum,Ambystoma_texanum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water
17,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,tigrinum,Ambystoma_tigrinum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water
18,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,means,Amphiuma_means,nocturnal,aquatic,paedomorphic,free-living,lentic water
19,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,tridactylum,Amphiuma_tridactylum,nocturnal,aquatic,paedomorphic,free-living,lentic water
20,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,davidianus,Andrias_davidianus,nocturnal,aquatic,metamorphosizing,free-living,lotic water
21,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,japonicus,Andrias_japonicus,nocturnal,aquatic,metamorphosizing,free-living,lotic water
22,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Cryptobranchus,alleganiensis,Cryptobranchus_alleganiensis,nocturnal,aquatic,metamorphosizing,free-living,lotic water
23,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,aterrimus,Dicamptodon_aterrimus,nocturnal,aquatic,paedomorphic,free-living,lotic water
24,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,copei,Dicamptodon_copei,nocturnal,aquatic,paedomorphic,free-living,lotic water
