,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Aquatic,Semiaquatic,Terrestrial,Scansorial,Subfossorial,Cave_dwelling,Nocturnal,Diurnal,Paedomorphic,Metamorphosizing,Direct_Development,Free_living,No_free_living,Lentic_water,Lotic_water,Both_water,No_larva
1,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,amblycephalum,Ambystoma_amblycephalum,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
2,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,annulatum,Ambystoma_annulatum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,bishopi,Ambystoma_bishopi,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
4,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,californiense,Ambystoma_californiense,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
5,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,dumerilii,Ambystoma_dumerilii,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
6,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,gracile,Ambystoma_gracile,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
7,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,granulosum,Ambystoma_granulosum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
8,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,jeffersonianum,Ambystoma_jeffersonianum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
9,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,macrodactylum,Ambystoma_macrodactylum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
10,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,maculatum,Ambystoma_maculatum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
11,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,mexicanum,Ambystoma_mexicanum,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
12,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,opacum,Ambystoma_opacum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
13,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,ordinarium,Ambystoma_ordinarium,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no
14,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,rosaceum,Ambystoma_rosaceum,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no
15,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,talpoideum,Ambystoma_talpoideum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
16,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,texanum,Ambystoma_texanum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
17,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,tigrinum,Ambystoma_tigrinum,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no
18,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,means,Amphiuma_means,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
19,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,tridactylum,Amphiuma_tridactylum,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no
20,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,davidianus,Andrias_davidianus,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
21,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,japonicus,Andrias_japonicus,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
22,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Cryptobranchus,alleganiensis,Cryptobranchus_alleganiensis,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
23,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,aterrimus,Dicamptodon_aterrimus,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no
24,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,copei,Dicamptodon_copei,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no
25,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,ensatus,Dicamptodon_ensatus,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
26,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,tenebrosus,Dicamptodon_tenebrosus,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,no
27,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,karlschmidti,Batrachuperus_karlschmidti,yes,no,no,no,no,no,NA,NA,no,yes,no,yes,no,no,yes,no,no
28,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,yenyuanensis,Batrachuperus_yenyuanensis,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no
