"","Genus_Species","X","eye_av","cor_av","svl_av","rootmass_av","n","Order","Suborder","Family","Genus","Species","Gill_Presence","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat","pglsres.edsvl"
"1","Ambystoma_amblycephalum",1,3.88,2.6,66.5,2.18417752171208,2,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","amblycephalum","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water",0.00071382662064523
"2","Ambystoma_annulatum",2,3.37166666666667,2.24333333333333,82.6666666666667,2.13559679708487,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","annulatum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",-0.136799490000742
"3","Ambystoma_bishopi",3,2.4925,1.6675,58,1.52183676454671,2,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","bishopi","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",-0.143390143938032
"4","Ambystoma_californiense",4,4.97833333333333,3.55166666666667,106.666666666667,3.22010104843117,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","californiense","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",-0.0571954472643873
"5","Ambystoma_gracile",6,5.36,4.06166666666667,84.3333333333333,2.2933024492182,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","gracile","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",0.0575012812997023
"6","Ambystoma_granulosum",7,3.405,2.165,63,1.7099759466767,1,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","granulosum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",-0.0369875273243819
"7","Ambystoma_jeffersonianum",8,3.25833333333333,2.39,65.3333333333333,1.8261645700048,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","jeffersonianum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",-0.0688981620786199
"8","Ambystoma_macrodactylum",9,3.91583333333333,2.6375,68,1.78744946118549,6,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","macrodactylum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",-0.0031377329363842
"9","Ambystoma_maculatum",10,3.97833333333333,2.54,79,2.10190550215159,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","maculatum","no","nocturnal","subfossorial","metamorphosizing","free-living","lentic water",-0.048988649949561
"10","Ambystoma_mexicanum",11,5.02333333333333,2.88833333333333,123,3.79084287529876,3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","mexicanum","yes","nocturnal","aquatic","paedomorphic","free-living","lentic water",-0.103390346079553
