"","Genus_Species","X","Order","Suborder","Family","Genus","Species","Gill_Presence","SVL_mm","Mass_g","rootmass","ED_right_mm","ED_left_mm","eyemean","CD_right_mm","CD_left_mm","cormean","Activity_Period","Adult_Habitat","Development","Life_History","Larval_Habitat"
"1","Ambystoma_amblycephalum",1,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","amblycephalum","yes",73,11.58,2.26240066513401,4.11,3.96,4.035,2.93,2.94,2.935,"nocturnal","aquatic","paedomorphic","free-living","lentic water"
"2","Ambystoma_amblycephalum",2,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","amblycephalum","yes",60,9.34,2.10595437829014,3.82,3.63,3.725,2.42,2.11,2.265,"nocturnal","aquatic","paedomorphic","free-living","lentic water"
"3","Ambystoma_annulatum",3,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","annulatum","no",80,8.97,2.07777004603319,3.1,3.17,3.135,2.06,1.99,2.025,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"4","Ambystoma_annulatum",4,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","annulatum","no",80,8.39,2.03198572953791,3.45,3.51,3.48,2.34,2.44,2.39,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"5","Ambystoma_annulatum",5,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","annulatum","no",88,12.12,2.29703461568352,3.4,3.6,3.5,2.2,2.43,2.315,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"6","Ambystoma_bishopi",6,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","bishopi","no",60,3.77,1.55637334172929,2.98,2.58,2.78,1.7,1.7,1.7,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"7","Ambystoma_bishopi",7,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","bishopi","no",56,3.29,1.48730018736413,2.24,2.17,2.205,1.52,1.75,1.635,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"8","Ambystoma_californiense",8,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","californiense","no",102,26.53,2.98249059835945,5.25,5.2,5.225,3.37,3.32,3.345,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"9","Ambystoma_californiense",9,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","californiense","no",103,29,3.07231682568585,4.77,4.83,4.8,3.56,3.33,3.445,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
"10","Ambystoma_californiense",10,"Caudata","Salamandroidea","Ambystomatidae","Ambystoma","californiense","no",115,46.87,3.60549572124822,4.95,4.87,4.91,3.62,4.11,3.865,"nocturnal","subfossorial","metamorphosizing","free-living","lentic water"
