"","Family","Genus","Species","Sampled"
"1","Ambystomatidae","Ambystoma","amblycephalum",2
"2","Ambystomatidae","Ambystoma","annulatum",3
"3","Ambystomatidae","Ambystoma","bishopi",2
"4","Ambystomatidae","Ambystoma","californiense",3
"5","Ambystomatidae","Ambystoma","dumerilii",3
"6","Ambystomatidae","Ambystoma","gracile",3
"7","Ambystomatidae","Ambystoma","granulosum",1
"8","Ambystomatidae","Ambystoma","jeffersonianum",3
"9","Ambystomatidae","Ambystoma","macrodactylum",6
"10","Ambystomatidae","Ambystoma","maculatum",3
"11","Ambystomatidae","Ambystoma","mexicanum",3
"12","Ambystomatidae","Ambystoma","opacum",3
"13","Ambystomatidae","Ambystoma","ordinarium",1
"14","Ambystomatidae","Ambystoma","rosaceum",3
"15","Ambystomatidae","Ambystoma","talpoideum",2
"16","Ambystomatidae","Ambystoma","texanum",3
"17","Ambystomatidae","Ambystoma","tigrinum",3
"18","Amphiumidae","Amphiuma","means",3
"19","Amphiumidae","Amphiuma","tridactylum",3
"20","Cryptobranchidae","Andrias","davidianus",2
"21","Cryptobranchidae","Andrias","japonicus",3
"22","Cryptobranchidae","Cryptobranchus","alleganiensis",4
"23","Dicamptodontidae","Dicamptodon","aterrimus",3
"24","Dicamptodontidae","Dicamptodon","copei",2
"25","Dicamptodontidae","Dicamptodon","ensatus",3
"26","Dicamptodontidae","Dicamptodon","tenebrosus",3
"27","Hynobiidae","Batrachuperus","karlschmidti",3
"28","Hynobiidae","Batrachuperus","yenyuanensis",3
"29","Hynobiidae","Hynobius","abei",3
"30","Hynobiidae","Hynobius","amjiensis",1
"31","Hynobiidae","Hynobius","chinensis",3
"32","Hynobiidae","Hynobius","kimurae",3
"33","Hynobiidae","Hynobius","leechii",3
"34","Hynobiidae","Hynobius","lichenatus",3
"35","Hynobiidae","Hynobius","naevius",1
"36","Hynobiidae","Hynobius","nebulosus",3
"37","Hynobiidae","Hynobius","nigrescens",3
"38","Hynobiidae","Hynobius","sonani",3
"39","Hynobiidae","Hynobius","tsuensis",3
"40","Hynobiidae","Liua","shihi",3
"41","Hynobiidae","Onychodactylus","fischeri",3
"42","Hynobiidae","Onychodactylus","japonicus",3
"43","Hynobiidae","Pachyhynobius","shangchengensis",3
"44","Hynobiidae","Paradactylodon","mustersi",6
"45","Hynobiidae","Ranodon","sibiricus",3
"46","Hynobiidae","Salamandrella","keyserlingii",3
"47","Plethodontidae","Aneides","aeneus",3
"48","Plethodontidae","Aneides","ferreus",3
"49","Plethodontidae","Aneides","flavipunctatus",3
"50","Plethodontidae","Aneides","hardii",3
"51","Plethodontidae","Aneides","lugubris",3
"52","Plethodontidae","Aneides","niger",3
"53","Plethodontidae","Aneides","vagrans",3
"54","Plethodontidae","Batrachoseps","attenuatus",3
"55","Plethodontidae","Batrachoseps","major",3
"56","Plethodontidae","Batrachoseps","nigriventris",3
"57","Plethodontidae","Batrachoseps","pacificus",3
"58","Plethodontidae","Batrachoseps","relictus",3
"59","Plethodontidae","Bolitoglossa","altamazonica",1
"60","Plethodontidae","Bolitoglossa","engelhardti",3
"61","Plethodontidae","Bolitoglossa","lignicolor",1
"62","Plethodontidae","Bolitoglossa","marmorea",3
"63","Plethodontidae","Bolitoglossa","mexicana",3
"64","Plethodontidae","Bolitoglossa","morio",3
"65","Plethodontidae","Bolitoglossa","platydactyla",3
"66","Plethodontidae","Bolitoglossa","rostrata",3
"67","Plethodontidae","Bolitoglossa","rufescens",3
"68","Plethodontidae","Bolitoglossa","subpalmata",3
"69","Plethodontidae","Chiropterotriton","chiropterus",3
"70","Plethodontidae","Chiropterotriton","multidentatus",3
"71","Plethodontidae","Desmognathus","auriculatus",3
"72","Plethodontidae","Desmognathus","brimleyorum",3
"73","Plethodontidae","Desmognathus","conanti",3
"74","Plethodontidae","Desmognathus","fuscus",3
"75","Plethodontidae","Desmognathus","imitator",3
"76","Plethodontidae","Desmognathus","monticola",3
"77","Plethodontidae","Desmognathus","ochrophaeus",3
